Rank,Ticker,Score,Verdict,Setup_Type,Regime,Trend_Note,Asset_Note,Structure,Prev_Label,Last_Label,Bars_Since_Flip,RSI,MRC_Zone,Stop_Dist_Pct,Room_To_Resist_Pct,RR_Ratio,Current_Price,Nearest_Support,Nearest_Resistance,ATH_Dist_Pct,Market_Cap_M,RET30,Held_QTY,SELL_ORDER,Earnings,s_structure,s_setup,s_fresh,s_stop,s_room,s_oversold,s_penalty
83,IONQ,23,D-WEAK,DOWNTREND,BEAR,against (1/3),AVOID: quantum,BEARISH,LH,LL,15.0,41.74,Below_Mean,5.0,20.6,4.1,36.84,35.0,44.43,-54.45,14925.2,-11.7,,,,0,0,0,5,8,10,0
84,OKLO,23,D-WEAK,DOWNTREND,BEAR,against (2/3),trade only - binary catalyst,BEARISH,LH,LL,21.0,41.69,Below_Mean,7.0,21.1,3.0,36.98,34.38,44.78,-80.88,6873.35,-13.82,,,,0,0,0,5,8,10,0
85,LEU,22,D-WEAK,WEAK,BEAR,against (0/3),-98% from ATH,BEARISH,LL,LH,12.0,33.6,Below_Mean,15.4,37.6,2.4,139.01,117.64,191.21,-97.98,2843.19,-26.54,,,,3,0,0,0,8,11,0
86,SNA,22,D-WEAK,DOWNTREND,BEAR,against (1/3),,BEARISH,LH,LL,39.0,37.63,Below_Mean,1.5,2.8,1.9,377.11,371.32,387.52,-10.95,19506.81,-9.41,,,,0,0,0,12,0,10,0
87,AAOI,21,D-WEAK,WEAK,BEAR,against (1/3),"AVOID: -$900M FCF, +49% dilution",BEARISH,LL,LH,20.0,40.35,Below_Mean,21.4,20.8,1.0,96.74,76.01,116.9,-57.26,8213.83,-26.51,,,,3,0,0,0,8,10,0
88,BOTZ,21,D-WEAK,WEAK,BEAR,against (1/3),no mkt cap - ETF/fund,BEARISH,LL,LH,11.0,41.0,Below_Mean,3.6,3.6,1.0,34.72,33.48,35.96,-15.7,,-6.39,,,,3,0,0,8,0,10,0
89,HIMS,21,D-WEAK,WEAK,BULL,against (0/3),,BEARISH,LL,LH,18.0,45.52,Near_Mean,2.2,5.1,2.3,28.0,27.38,29.44,-60.79,6532.78,-12.94,,,,3,0,0,10,2,6,0
90,KTOS,21,D-WEAK,WEAK,BEAR,against (0/3),-97% from ATH,BEARISH,LL,LH,6.0,37.98,Below_Mean,4.5,3.9,0.9,47.59,45.47,49.46,-97.04,8924.08,-8.25,,,,3,0,0,8,0,10,0
91,NPPTF,21,D-WEAK,DOWNTREND,BEAR,partial (1/3),micro-cap $52M,BEARISH,LH,LL,1.0,42.52,Near_Mean,6.9,25.0,3.6,0.408,0.38,0.51,-79.39,52.34,14.93,,,,0,0,0,5,8,8,0
92,RGTI,21,D-WEAK,WEAK,BEAR,against (1/3),AVOID: quantum,BEARISH,LL,LH,15.0,46.29,Near_Mean,4.9,11.0,2.2,15.36,14.6,17.05,-73.51,5126.69,-8.34,,,,3,0,0,8,4,6,0
93,SOFI,21,D-WEAK,WEAK,BEAR,partial (2/3),,MIXED,HL,LH,11.0,46.16,Near_Mean,11.9,2.8,0.2,17.27,15.22,17.75,-47.59,22309.68,-5.37,,,,13,0,0,2,0,6,0
94,FIG,20,D-WEAK,WEAK,BEAR,against (1/3),,BEARISH,LL,LH,9.0,43.09,Near_Mean,6.2,7.5,1.2,23.06,21.62,24.78,-83.85,12291.21,-14.97,,,,3,0,0,5,4,8,0
